filepaths,labels,data set
train/AFRICAN CROWNED CRANE/001.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/002.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/003.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/004.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/005.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/006.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/007.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/008.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/009.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/010.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/011.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/012.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/013.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/014.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/015.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/016.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/017.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/018.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/019.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/020.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/021.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/022.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/023.jpg,AFRICAN CROWNED CRANE,train
