class_index,class,height,width,scale by
0,AFRICAN CROWNED CRANE,224,224,1
1,AFRICAN FIREFINCH,224,224,1
2,ALBATROSS,224,224,1
3,ALEXANDRINE PARAKEET,224,224,1
4,AMERICAN AVOCET,224,224,1
5,AMERICAN BITTERN,224,224,1
6,AMERICAN COOT,224,224,1
7,AMERICAN GOLDFINCH,224,224,1
8,AMERICAN KESTREL,224,224,1
9,AMERICAN PIPIT,224,224,1
10,AMERICAN REDSTART,224,224,1
11,ANHINGA,224,224,1
12,ANNAS HUMMINGBIRD,224,224,1
13,ANTBIRD,224,224,1
14,ARARIPE MANAKIN,224,224,1
15,ASIAN CRESTED IBIS,224,224,1
16,BALD EAGLE,224,224,1
17,BALD IBIS,224,224,1
18,BALI STARLING,224,224,1
19,BALTIMORE ORIOLE,224,224,1
20,BANANAQUIT,224,224,1
21,BANDED BROADBILL,224,224,1
22,BANDED PITA,224,224,1
23,BAR-TAILED GODWIT,224,224,1
24,BARN OWL,224,224,1
25,BARN SWALLOW,224,224,1
26,BARRED PUFFBIRD,224,224,1
27,BAY-BREASTED WARBLER,224,224,1
28,BEARDED BARBET,224,224,1
29,BEARDED BELLBIRD,224,224,1
30,BEARDED REEDLING,224,224,1
31,BELTED KINGFISHER,224,224,1
32,BIRD OF PARADISE,224,224,1
33,BLACK & YELLOW bROADBILL,224,224,1
34,BLACK FRANCOLIN,224,224,1
35,BLACK SKIMMER,224,224,1
36,BLACK SWAN,224,224,1
37,BLACK TAIL CRAKE,224,224,1
38,BLACK THROATED BUSHTIT,224,224,1
39,BLACK THROATED WARBLER,224,224,1
40,BLACK VULTURE,224,224,1
41,BLACK-CAPPED CHICKADEE,224,224,1
42,BLACK-NECKED GREBE,224,224,1
43,BLACK-THROATED SPARROW,224,224,1
44,BLACKBURNIAM WARBLER,224,224,1
45,BLONDE CRESTED WOODPECKER,224,224,1
46,BLUE GROUSE,224,224,1
47,BLUE HERON,224,224,1
48,BOBOLINK,224,224,1
49,BORNEAN BRISTLEHEAD,224,224,1
50,BORNEAN LEAFBIRD,224,224,1
51,BORNEAN PHEASANT,224,224,1
52,BROWN CREPPER,224,224,1
53,BROWN NOODY,224,224,1
54,BROWN THRASHER,224,224,1
55,BULWERS PHEASANT,224,224,1
56,CACTUS WREN,224,224,1
57,CALIFORNIA CONDOR,224,224,1
58,CALIFORNIA GULL,224,224,1
59,CALIFORNIA QUAIL,224,224,1
60,CANARY,224,224,1
61,CAPE MAY WARBLER,224,224,1
62,CAPPED HERON,224,224,1
63,CAPUCHINBIRD,224,224,1
64,CARMINE BEE-EATER,224,224,1
65,CASPIAN TERN,224,224,1
66,CASSOWARY,224,224,1
67,CEDAR WAXWING,224,224,1
68,CERULEAN WARBLER,224,224,1
69,CHARA DE COLLAR,224,224,1
70,CHIPPING SPARROW,224,224,1
71,CHUKAR PARTRIDGE,224,224,1
72,CINNAMON TEAL,224,224,1
73,CLARKS NUTCRACKER,224,224,1
74,COCK OF THE  ROCK,224,224,1
75,COCKATOO,224,224,1
76,COLLARED ARACARI,224,224,1
77,COMMON FIRECREST,224,224,1
78,COMMON GRACKLE,224,224,1
79,COMMON HOUSE MARTIN,224,224,1
